Time,Air Quality
02-01 00:00,-7.0
02-01 00:10,-10.0
02-01 00:20,-15.0
02-01 00:30,-10.0
02-01 00:40,-9.0
02-01 00:50,-5.0
02-01 01:00,-13.0
02-01 01:10,-19.0
02-01 01:20,-23.0
02-01 01:31,-20.0
02-01 01:41,-24.0
02-01 01:51,-25.0
02-01 02:01,-30.0
02-01 02:11,-32.0
02-01 02:21,-33.0
02-01 02:31,-33.0
02-01 02:41,-34.0
02-01 02:51,-40.0
02-01 03:01,-50.0
02-01 03:11,-50.0
02-01 03:21,-45.0
02-01 03:31,-37.0
02-01 03:41,-38.0
02-01 03:51,-38.0
02-01 04:01,-30.0
02-01 04:11,-25.0
02-01 04:21,-22.0
02-01 04:31,-27.0
02-01 04:41,-31.0
02-01 04:51,-35.0
02-01 05:01,-36.0
02-01 05:11,-40.0
02-01 05:21,-43.0
02-01 05:31,-45.0
02-01 05:41,-48.0
02-01 05:51,-51.0
02-01 06:01,-53.0
02-01 06:11,-59.0
02-01 06:21,-66.0
02-01 06:31,-75.0
02-01 06:41,-80.0
02-01 06:51,-79.0
02-01 07:01,-82.0
02-01 07:11,-83.0
02-01 07:21,-88.0
02-01 07:31,-93.0
02-01 07:41,-93.0
02-01 07:51,-89.0
02-01 08:01,-81.0
02-01 08:11,-77.0
02-01 08:21,-78.0
02-01 08:31,-84.0
02-01 08:41,-88.0
02-01 08:51,-93.0
02-01 09:01,-91.0
02-01 09:11,-98.0
02-01 09:21,-101.0
02-01 09:31,-103.0
02-01 09:41,-105.0
02-01 09:51,-100.0
02-01 10:01,-102.0
02-01 10:11,-95.0
02-01 10:21,-80.0
02-01 10:31,-67.0
02-01 10:41,-64.0
02-01 10:51,-65.0
02-01 11:01,-61.0
02-01 11:11,-56.0
02-01 11:21,-41.0
02-01 11:31,-30.0
02-01 11:41,-19.0
02-01 11:51,-9.0
02-01 12:00,21.0
02-01 12:10,14.0
02-01 12:20,11.0
02-01 12:30,18.0
02-01 12:40,22.0
02-01 12:50,25.0
02-01 13:00,18.0
02-01 13:10,20.0
02-01 13:20,24.0
02-01 13:30,21.0
02-01 13:40,20.0
02-01 13:50,18.0
02-01 14:00,19.0
02-01 14:10,14.0
02-01 14:20,16.0
02-01 14:30,-21.0
02-01 14:40,-54.0
02-01 14:50,-82.0
02-01 15:00,-67.0
02-01 15:10,-52.0
02-01 15:20,-79.0
02-01 15:30,-124.0
02-01 15:40,-163.0
02-01 15:50,-161.0
02-01 16:00,-141.0
02-01 16:10,-123.0
02-01 16:20,-109.0
02-01 16:30,-96.0
02-01 16:40,-82.0
02-01 16:50,-71.0
02-01 17:00,-57.0
02-01 17:10,-54.0
02-01 17:20,-49.0
02-01 17:30,-41.0
02-01 17:40,-34.0
02-01 17:50,-29.0
02-01 18:00,-24.0
02-01 18:10,-19.0
02-01 18:20,-16.0
02-01 18:30,-12.0
02-01 18:40,-11.0
02-01 18:50,-9.0
02-01 19:00,-8.0
02-01 19:10,-7.0
02-01 19:20,-7.0
02-01 19:30,-7.0
02-01 19:40,-9.0
02-01 19:50,-7.0
02-01 20:00,-5.0
02-01 20:10,-4.0
02-01 20:20,-1.0
02-01 20:30,0.0
02-01 20:40,2.0
02-01 20:50,1.0
02-01 21:00,2.0
02-01 21:10,1.0
02-01 21:20,1.0
02-01 21:30,-2.0
02-01 21:40,-1.0
02-01 21:50,0.0
02-01 22:00,-3.0
02-01 22:10,-8.0
02-01 22:20,-5.0
02-01 22:30,-3.0
02-01 22:40,-6.0
02-01 22:50,-7.0
02-01 23:00,3.0
02-01 23:10,7.0
02-01 23:20,12.0
02-01 23:30,8.0
02-01 23:40,4.0
02-01 23:50,3.0
02-02 00:00,-1.0
02-02 00:10,-4.0
02-02 00:20,-4.0
02-02 00:30,-5.0
02-02 00:41,-7.0
02-02 00:51,-7.0
02-02 01:01,-7.0
02-02 01:11,-8.0
02-02 01:21,-7.0
02-02 01:31,-10.0
02-02 01:41,-12.0
02-02 01:51,-13.0
02-02 02:01,-14.0
02-02 02:11,-15.0
02-02 02:21,-13.0
02-02 02:31,-14.0
02-02 02:41,-14.0
02-02 02:51,-14.0
02-02 03:01,-15.0
02-02 03:11,-14.0
02-02 03:21,-14.0
02-02 03:31,-12.0
02-02 03:41,-11.0
02-02 03:51,-11.0
02-02 04:01,-11.0
02-02 04:11,-16.0
02-02 04:21,-15.0
02-02 04:31,-21.0
02-02 04:41,-20.0
02-02 04:51,-21.0
02-02 05:01,-21.0
02-02 05:11,-20.0
02-02 05:21,-15.0
02-02 05:31,-6.0
02-02 05:41,-2.0
02-02 05:51,-8.0
02-02 06:01,-11.0
02-02 06:11,-13.0
02-02 06:21,-16.0
02-02 06:31,-18.0
02-02 06:41,-22.0
02-02 06:51,-22.0
02-02 07:01,-23.0
02-02 07:11,-21.0
02-02 07:21,-21.0
02-02 07:31,-25.0
02-02 07:41,-23.0
02-02 07:51,-24.0
02-02 08:01,-25.0
02-02 08:11,-24.0
02-02 08:21,-22.0
02-02 08:31,-23.0
02-02 08:41,-19.0
02-02 08:51,-18.0
02-02 09:01,-18.0
02-02 09:11,-16.0
02-02 09:21,-12.0
02-02 09:31,-7.0
02-02 09:41,-2.0
02-02 09:51,-1.0
02-02 10:01,-5.0
02-02 10:11,-9.0
02-02 10:21,-11.0
02-02 10:31,-18.0
02-02 10:41,-22.0
02-02 10:51,-26.0
02-02 11:01,-28.0
02-02 11:11,-71.0
02-02 11:21,-112.0
02-02 11:31,-143.0
02-02 11:41,-125.0
02-02 11:51,-103.0
02-02 12:00,-90.0
02-02 12:10,-98.0
02-02 12:20,-120.0
02-02 12:30,-138.0
02-02 12:40,-159.0
02-02 12:50,-116.0
02-02 13:00,-103.0
02-02 13:10,-90.0
02-02 13:20,-130.0
02-02 13:30,-137.0
02-02 13:40,-160.0
02-02 13:50,-130.0
02-02 14:00,-88.0
02-02 14:10,-17.0
02-02 14:20,15.0
02-02 14:30,34.0
02-02 14:40,45.0
02-02 14:50,60.0
02-02 15:00,16.0
02-02 15:10,-14.0
02-02 15:20,-47.0
02-02 15:30,-15.0
02-02 15:40,9.0
02-02 15:50,36.0
02-02 16:00,-14.0
02-02 16:10,-89.0
02-02 16:20,-176.0
02-02 16:30,-154.0
02-02 16:40,-77.0
02-02 16:50,-7.0
02-02 17:00,28.0
02-02 17:10,17.0
02-02 17:20,28.0
02-02 17:30,-34.0
02-02 17:40,-105.0
02-02 17:50,-164.0
02-02 18:00,-109.0
02-02 18:10,-95.0
02-02 18:20,-103.0
02-02 18:30,-128.0
02-02 18:40,-92.0
02-02 18:50,-40.0
02-02 19:00,59.0
02-02 19:10,157.0
02-02 19:20,222.0
02-02 19:30,213.0
02-02 19:40,209.0
02-03 12:00,-41.0
02-03 12:10,-46.0
02-03 12:20,-47.0
02-03 12:30,-44.0
02-03 12:40,-43.0
02-03 12:50,-32.0
02-03 13:00,-23.0
02-03 13:10,-16.0
02-03 13:20,-13.0
02-03 13:30,-7.0
02-03 13:40,-7.0
02-03 13:50,-8.0
02-03 14:00,-13.0
02-03 14:10,-19.0
02-03 14:20,-62.0
02-03 14:30,-121.0
02-03 14:40,-179.0
02-03 14:50,-200.0
02-03 15:00,-202.0
02-03 15:10,-186.0
02-03 15:20,-149.0
02-03 15:30,-109.0
02-03 15:40,-81.0
02-03 15:50,-64.0
02-03 16:00,-65.0
02-03 16:10,-57.0
02-03 16:20,-67.0
02-03 16:30,-86.0
02-03 16:40,-89.0
02-03 16:50,-59.0
02-03 17:00,7.0
02-03 17:10,56.0
02-03 17:20,49.0
02-03 17:30,44.0
02-03 17:40,8.0
02-03 17:50,11.0
02-03 18:00,-3.0
02-03 18:10,-2.0
02-03 18:20,-4.0
02-03 18:31,-5.0
02-03 18:41,-5.0
02-03 18:51,-3.0
02-03 19:01,-4.0
02-03 19:11,-20.0
02-03 19:21,-53.0
02-03 19:31,-59.0
