Time, Air Quality
02-01 00:00,6403
02-01 00:10,6463
02-01 00:20,6407
02-01 00:30,6498
02-01 00:40,6561
02-01 00:50,6424
02-01 01:00,6332
02-01 01:10,6370
02-01 01:20,6311
02-01 01:31,6404
02-01 01:41,6264
02-01 01:51,6281
02-01 02:01,6252
02-01 02:11,6187
02-01 02:21,6269
02-01 02:31,6259
02-01 02:41,6145
02-01 02:51,6032
02-01 03:01,5976
02-01 03:11,6187
02-01 03:21,6184
02-01 03:31,6174
02-01 03:41,6206
02-01 03:51,6203
02-01 04:01,6384
02-01 04:11,6350
02-01 04:21,6292
02-01 04:31,6251
02-01 04:41,6223
02-01 04:51,6180
02-01 05:01,6167
02-01 05:11,6128
02-01 05:21,6094
02-01 05:31,6102
02-01 05:41,6022
02-01 05:51,6017
02-01 06:01,6021
02-01 06:11,5872
02-01 06:21,5775
02-01 06:31,5793
02-01 06:41,5726
02-01 06:51,5815
02-01 07:01,5699
02-01 07:11,5673
02-01 07:21,5645
02-01 07:31,5566
02-01 07:41,5657
02-01 07:51,5741
02-01 08:01,5795
02-01 08:11,5794
02-01 08:21,5717
02-01 08:31,5613
02-01 08:41,5706
02-01 08:51,5585
02-01 09:01,5662
02-01 09:11,5550
02-01 09:21,5507
02-01 09:31,5574
02-01 09:41,5564
02-01 09:51,5625
02-01 10:01,5577
02-01 10:11,5765
02-01 10:21,6107
02-01 10:31,5976
02-01 10:41,5942
02-01 10:51,6085
02-01 11:01,6094
02-01 11:11,6158
02-01 11:21,6503
02-01 11:31,6450
02-01 11:41,6502
02-01 11:51,6689
02-01 12:00,6847
02-01 12:10,6746
02-01 12:20,6722
02-01 12:30,7049
02-01 12:40,6840
02-01 12:50,6790
02-01 13:00,6847
02-01 13:10,6918
02-01 13:20,6834
02-01 13:30,6755
02-01 13:40,6938
02-01 13:50,6800
02-01 14:00,6740
02-01 14:10,6800
02-01 14:20,6817
02-01 14:30,5666
02-01 14:40,5789
02-01 14:50,5986
02-01 15:00,6120
02-01 15:10,6233
02-01 15:20,5143
02-01 15:30,4839
02-01 15:40,5020
02-01 15:50,5227
02-01 16:00,5403
02-01 16:10,5549
02-01 16:20,5682
02-01 16:30,5794
02-01 16:40,5897
02-01 16:50,6080
02-01 17:00,6117
02-01 17:10,6050
02-01 17:20,6241
02-01 17:30,6319
02-01 17:40,6276
02-01 17:50,6378
02-01 18:00,6446
02-01 18:10,6425
02-01 18:20,6509
02-01 18:30,6506
02-01 18:40,6516
02-01 18:50,6551
02-01 19:00,6540
02-01 19:10,6528
02-01 19:20,6540
02-01 19:30,6549
02-01 19:40,6527
02-01 19:50,6548
02-01 20:00,6579
02-01 20:10,6575
02-01 20:20,6625
02-01 20:30,6617
02-01 20:40,6601
02-01 20:50,6604
02-01 21:00,6629
02-01 21:10,6591
02-01 21:20,6590
02-01 21:30,6596
02-01 21:40,6630
02-01 21:50,6518
02-01 22:00,6513
02-01 22:10,6545
02-01 22:20,6543
02-01 22:30,6537
02-01 22:40,6512
02-01 22:50,6529
02-01 23:00,6787
02-01 23:10,6704
02-01 23:20,6677
02-01 23:30,6627
02-01 23:40,6617
02-01 23:50,6601
02-02 00:00,6559
02-02 00:10,6548
02-02 00:20,6539
02-02 00:30,6536
02-02 00:41,6507
02-02 00:51,6523
02-02 01:01,6535
02-02 01:11,6514
02-02 01:21,6487
02-02 01:31,6469
02-02 01:41,6463
02-02 01:51,6451
02-02 02:01,6448
02-02 02:11,6458
02-02 02:21,6452
02-02 02:31,6458
02-02 02:41,6459
02-02 02:51,6459
02-02 03:01,6468
02-02 03:11,6468
02-02 03:21,6469
02-02 03:31,6472
02-02 03:41,6472
02-02 03:51,6473
02-02 04:01,6474
02-02 04:11,6401
02-02 04:21,6404
02-02 04:31,6384
02-02 04:41,6386
02-02 04:51,6388
02-02 05:01,6369
02-02 05:11,6368
02-02 05:21,6608
02-02 05:31,6554
02-02 05:41,6519
02-02 05:51,6467
02-02 06:01,6450
02-02 06:11,6434
02-02 06:21,6404
02-02 06:31,6365
02-02 06:41,6374
02-02 06:51,6366
02-02 07:01,6378
02-02 07:11,6375
02-02 07:21,6358
02-02 07:31,6340
02-02 07:41,6354
02-02 07:51,6329
02-02 08:01,6334
02-02 08:11,6357
02-02 08:21,6389
02-02 08:31,6391
02-02 08:41,6399
02-02 08:51,6437
02-02 09:01,6410
02-02 09:11,6446
02-02 09:21,6570
02-02 09:31,6572
02-02 09:41,6579
02-02 09:51,6539
02-02 10:01,6522
02-02 10:11,6476
02-02 10:21,6432
02-02 10:31,6364
02-02 10:41,6369
02-02 10:51,6317
02-02 11:01,6311
02-02 11:11,5080
02-02 11:21,5081
02-02 11:31,5351
02-02 11:41,5664
02-02 11:51,5769
02-02 12:00,5686
02-02 12:10,5587
02-02 12:20,5099
02-02 12:30,5131
02-02 12:40,4992
02-02 12:50,6389
02-02 13:00,5497
02-02 13:10,5427
02-02 13:20,5221
02-02 13:30,5291
02-02 13:40,4697
02-02 13:50,6121
02-02 14:00,6558
02-02 14:10,6870
02-02 14:20,7069
02-02 14:30,7125
02-02 14:40,7223
02-02 14:50,7570
02-02 15:00,5719
02-02 15:10,6276
02-02 15:20,6610
02-02 15:30,6664
02-02 15:40,7045
02-02 15:50,7455
02-02 16:00,5155
02-02 16:10,4773
02-02 16:20,4872
02-02 16:30,5808
02-02 16:40,7127
02-02 16:50,6949
02-02 17:00,6868
02-02 17:10,6771
02-02 17:20,7341
02-02 17:30,4940
02-02 17:40,4661
02-02 17:50,5561
02-02 18:00,6557
02-02 18:10,5042
02-02 18:20,5315
02-02 18:30,5809
02-02 18:40,6145
02-02 18:50,6843
02-02 19:00,8937
02-02 19:10,8983
02-02 19:20,8807
02-02 19:30,8693
02-02 19:40,8896
02-03 12:00,6202
02-03 12:10,6163
02-03 12:20,6186
02-03 12:30,6217
02-03 12:40,6234
02-03 12:50,6489
02-03 13:00,6488
02-03 13:10,6487
02-03 13:20,6594
02-03 13:30,6617
02-03 13:40,6571
02-03 13:50,6512
02-03 14:00,6455
02-03 14:10,6406
02-03 14:20,5201
02-03 14:30,4709
02-03 14:40,4679
02-03 14:50,4583
02-03 15:00,4660
02-03 15:10,5243
02-03 15:20,5657
02-03 15:30,5854
02-03 15:40,6089
02-03 15:50,6173
02-03 16:00,5892
02-03 16:10,6358
02-03 16:20,5856
02-03 16:30,5329
02-03 16:40,6248
02-03 16:50,6810
02-03 17:00,7197
02-03 17:10,7744
02-03 17:20,6587
02-03 17:30,7118
02-03 17:40,6636
02-03 17:50,6655
02-03 18:00,6640
02-03 18:10,6643
02-03 18:20,6633
02-03 18:31,6583
02-03 18:41,6563
02-03 18:51,6763
02-03 19:01,6519
02-03 19:11,6028
02-03 19:21,5840
02-03 19:31,6400
02-03 19:41,6820
02-03 19:51,7083
02-03 20:01,7217
02-03 20:11,7368
02-03 20:21,7507
02-03 20:31,8017
02-04 12:00,4482
02-04 12:10,4463
02-04 12:20,4373
02-04 12:30,4575
02-04 12:40,4871
02-04 12:50,6109
02-04 13:00,6863
02-04 13:10,5773
02-04 13:20,4586
02-04 13:30,5148
02-04 13:40,5538
02-04 13:50,5732
02-04 14:00,5835
02-04 14:10,5910
02-04 14:20,5995
02-04 14:30,6249
02-04 14:40,6292
02-04 14:50,6295
02-04 15:00,6284
02-04 15:10,5054
02-04 15:20,4743
02-04 15:30,4652
02-04 15:40,4590
02-04 15:50,4671
02-04 16:00,4489
02-04 16:10,4685
02-04 16:20,5165
02-04 16:30,5970
02-04 16:40,6365
02-04 16:50,6289
02-04 17:00,6824
02-06 12:00,7553
02-06 12:10,7443
02-06 12:20,7633
02-06 12:30,7588
02-06 12:40,7616
02-06 12:50,7607
02-06 13:00,7596
02-06 13:10,7819
02-06 13:20,7831
02-06 13:30,7795
02-06 13:40,7766
02-06 13:50,8137
02-06 14:00,8078
02-06 14:10,7858
02-06 14:20,7941
02-06 14:30,7952
02-06 14:40,7864
02-06 14:50,7785
02-06 15:00,7824
02-06 15:10,5223
02-06 15:20,5744
02-06 15:30,5949
02-06 15:40,6085
02-06 15:50,6296
02-06 16:00,6382
