Time,Voltage
02-01 00:00,0.0
02-01 00:10,0.0
02-01 00:20,0.0
02-01 00:30,0.0
02-01 00:40,0.0
02-01 00:50,0.0
02-01 01:00,0.0
02-01 01:10,0.0
02-01 01:20,-0.0
02-01 01:31,0.0
02-01 01:41,0.0
02-01 01:51,0.0
02-01 02:01,0.0
02-01 02:11,0.0
02-01 02:21,0.0
02-01 02:31,-0.0
02-01 02:41,0.0
02-01 02:51,0.0
02-01 03:01,0.0
02-01 03:11,0.0
02-01 03:21,0.0
02-01 03:31,0.0
02-01 03:41,-0.0
02-01 03:51,0.0
02-01 04:01,-0.1
02-01 04:11,-0.0
02-01 04:21,-0.0
02-01 04:31,-0.0
02-01 04:41,-0.0
02-01 04:51,-0.0
02-01 05:01,-0.0
02-01 05:11,0.0
02-01 05:21,0.0
02-01 05:31,-0.0
02-01 05:41,-0.0
02-01 05:51,-0.0
02-01 06:01,-0.0
02-01 06:11,-0.0
02-01 06:21,0.0
02-01 06:31,-0.0
02-01 06:41,0.0
02-01 06:51,0.1
02-01 07:01,0.4
02-01 07:11,1.7
02-01 07:21,7.1
02-01 07:31,13.5
02-01 07:41,13.6
02-01 07:51,13.7
02-01 08:01,24.2
02-01 08:11,14.9
02-01 08:21,15.1
02-01 08:31,15.1
02-01 08:41,15.1
02-01 08:51,15.2
02-01 09:01,15.1
02-01 09:11,15.1
02-01 09:21,15.2
02-01 09:31,15.2
02-01 09:41,15.1
02-01 09:51,15.2
02-01 10:01,15.3
02-01 10:11,41.0
02-01 10:21,41.2
02-01 10:31,41.2
02-01 10:41,41.5
02-01 10:51,41.4
02-01 11:01,41.9
02-01 11:11,41.0
02-01 11:21,41.5
02-01 11:31,38.0
02-01 11:41,15.4
02-01 11:51,15.2
02-01 12:00,15.0
02-01 12:10,15.1
02-01 12:20,14.9
02-01 12:30,14.7
02-01 12:40,15.1
02-01 12:50,15.3
02-01 13:00,15.3
02-01 13:10,15.2
02-01 13:20,15.3
02-01 13:30,15.3
02-01 13:40,15.3
02-01 13:50,15.3
02-01 14:00,15.2
02-01 14:10,15.2
02-01 14:20,15.2
02-01 14:30,15.1
02-01 14:40,15.1
02-01 14:50,15.0
02-01 15:00,14.9
02-01 15:10,14.8
02-01 15:20,14.8
02-01 15:30,14.9
02-01 15:40,14.9
02-01 15:50,14.9
02-01 16:00,14.9
02-01 16:10,14.8
02-01 16:20,14.8
02-01 16:30,13.6
02-01 16:40,13.7
02-01 16:50,13.5
02-01 17:00,13.4
02-01 17:10,13.5
02-01 17:20,7.2
02-01 17:30,1.9
02-01 17:40,0.6
02-01 17:50,0.2
02-01 18:00,0.1
02-01 18:10,0.1
02-01 18:20,0.1
02-01 18:30,0.1
02-01 18:40,0.1
02-01 18:50,0.1
02-01 19:00,0.1
02-01 19:10,0.1
02-01 19:20,0.1
02-01 19:30,0.1
02-01 19:40,0.1
02-01 19:50,0.1
02-01 20:00,0.1
02-01 20:10,0.1
02-01 20:20,0.1
02-01 20:30,0.1
02-01 20:40,0.1
02-01 20:50,0.1
02-01 21:00,0.1
02-01 21:10,0.1
02-01 21:20,0.1
02-01 21:30,0.1
02-01 21:40,0.1
02-01 21:50,0.1
02-01 22:00,0.1
02-01 22:10,0.1
02-01 22:20,0.1
02-01 22:30,0.1
02-01 22:40,0.1
02-01 22:50,0.1
02-01 23:00,0.0
02-01 23:10,0.0
02-01 23:20,0.0
02-01 23:30,0.0
02-01 23:40,0.0
02-01 23:50,0.0
02-02 00:00,0.0
02-02 00:10,0.0
02-02 00:20,0.0
02-02 00:30,0.0
02-02 00:41,0.0
02-02 00:51,0.0
02-02 01:01,0.0
02-02 01:11,0.0
02-02 01:21,0.0
02-02 01:31,0.0
02-02 01:41,0.0
02-02 01:51,0.0
02-02 02:01,0.0
