Time, Temp C, Humidity %
02-01 00:00,5,21
02-01 00:10,6,21
02-01 00:20,5,19
02-01 00:30,5,22
02-01 00:40,7,22
02-01 00:50,4,21
02-01 01:00,6,21
02-01 01:10,6,22
02-01 01:20,6,22
02-01 01:31,6,22
02-01 01:41,6,21
02-01 01:51,4,22
02-01 02:01,6,21
02-01 02:11,6,21
02-01 02:21,4,22
02-01 02:31,6,21
02-01 02:41,6,22
02-01 02:51,4,22
02-01 03:01,5,20
02-01 03:11,5,23
02-01 03:21,6,25
02-01 03:31,6,23
02-01 03:41,6,22
02-01 03:51,5,24
02-01 04:01,4,23
02-01 04:11,6,23
02-01 04:21,6,23
02-01 04:31,6,24
02-01 04:41,6,24
02-01 04:51,6,24
02-01 05:01,3,24
02-01 05:11,5,22
02-01 05:21,5,24
02-01 05:31,5,24
02-01 05:41,5,25
02-01 05:51,5,25
02-01 06:01,5,26
02-01 06:11,6,26
02-01 06:21,4,23
02-01 06:31,6,24
02-01 06:41,6,21
02-01 06:51,6,23
02-01 07:01,6,20
02-01 07:11,5,20
02-01 07:21,5,23
02-01 07:31,5,21
02-01 07:41,5,23
02-01 07:51,4,23
02-01 08:01,4,24
02-01 08:11,4,24
02-01 08:21,4,24
02-01 08:31,5,22
02-01 08:41,5,23
02-01 08:51,6,23
02-01 09:01,6,24
02-01 09:11,7,23
02-01 09:21,6,22
02-01 09:31,8,23
02-01 09:41,9,22
02-01 09:51,8,23
02-01 10:01,10,23
02-01 10:11,10,24
02-01 10:21,11,25
02-01 10:31,13,23
02-01 10:41,14,21
02-01 10:51,15,21
02-01 11:01,15,21
02-01 11:11,15,21
02-01 11:21,16,23
02-01 11:31,15,22
02-01 11:41,15,21
02-01 11:51,17,22
02-01 12:00,13,22
02-01 12:10,13,21
02-01 12:20,14,20
02-01 12:30,15,22
02-01 12:40,15,21
02-01 12:50,14,21
02-01 13:00,14,21
02-01 13:10,13,22
02-01 13:20,14,22
02-01 13:30,14,21
02-01 13:40,14,23
02-01 13:50,13,22
02-01 14:00,15,22
02-01 14:10,15,22
02-01 14:20,14,23
02-01 14:30,15,25
02-01 14:40,13,23
02-01 14:50,13,24
02-01 15:00,13,24
02-01 15:10,13,24
02-01 15:20,12,25
02-01 15:30,12,24
02-01 15:40,13,24
02-01 15:50,13,25
02-01 16:00,12,26
02-01 16:10,12,25
02-01 16:20,11,25
02-01 16:30,11,25
02-01 16:40,13,25
02-01 16:50,11,23
02-01 17:00,12,25
02-01 17:10,12,25
02-01 17:20,12,25
02-01 17:30,11,25
02-01 17:40,11,25
02-01 17:50,11,25
02-01 18:00,10,26
02-01 18:10,10,25
02-01 18:20,10,25
02-01 18:30,12,25
02-01 18:40,10,25
02-01 18:50,11,25
02-01 19:00,11,25
02-01 19:10,11,25
02-01 19:20,8,27
02-01 19:30,10,25
02-01 19:40,12,25
02-01 19:50,11,26
02-01 20:00,10,26
02-01 20:10,10,25
02-01 20:20,10,26
02-01 20:30,10,26
02-01 20:40,9,25
02-01 20:50,11,26
02-01 21:00,9,26
02-01 21:10,9,26
02-01 21:20,9,25
02-01 21:30,9,26
02-01 21:40,11,26
02-01 21:50,8,26
02-01 22:00,10,26
02-01 22:10,10,26
02-01 22:20,10,26
02-01 22:30,9,26
02-01 22:40,7,26
02-01 22:50,9,26
02-01 23:00,9,25
02-01 23:10,10,26
02-01 23:20,10,26
02-01 23:30,10,25
02-01 23:40,8,26
02-01 23:50,10,26
02-02 00:00,10,26
02-02 00:10,10,26
02-02 00:20,10,26
02-02 00:30,9,27
02-02 00:41,9,27
02-02 00:51,9,26
02-02 01:01,9,26
02-02 01:11,10,26
02-02 01:21,9,25
02-02 01:31,9,26
02-02 01:41,9,27
02-02 01:51,9,26
02-02 02:01,11,25
02-02 02:11,8,26
02-02 02:21,9,26
02-02 02:31,9,26
02-02 02:41,9,26
02-02 02:51,9,26
02-02 03:01,9,26
02-02 03:11,8,26
02-02 03:21,8,26
02-02 03:31,8,26
02-02 03:41,8,25
02-02 03:51,8,26
02-02 04:01,8,26
02-02 04:11,9,26
02-02 04:21,7,27
02-02 04:31,8,27
02-02 04:41,9,27
02-02 04:51,7,26
02-02 05:01,9,26
02-02 05:11,9,27
02-02 05:21,9,26
02-02 05:31,8,27
02-02 05:41,10,27
02-02 05:51,9,26
02-02 06:01,8,26
02-02 06:11,8,27
02-02 06:21,8,27
02-02 06:31,6,27
02-02 06:41,8,26
02-02 06:51,8,27
02-02 07:01,10,28
02-02 07:11,8,27
02-02 07:21,10,27
02-02 07:31,10,27
02-02 07:41,8,29
02-02 07:51,8,27
02-02 08:01,8,27
02-02 08:11,10,27
02-02 08:21,8,28
02-02 08:31,8,28
02-02 08:41,8,27
02-02 08:51,8,27
02-02 09:01,9,27
02-02 09:11,9,27
02-02 09:21,9,27
02-02 09:31,9,27
02-02 09:41,9,28
02-02 09:51,9,28
02-02 10:01,9,27
02-02 10:11,8,30
02-02 10:21,10,28
02-02 10:31,10,28
02-02 10:41,8,28
02-02 10:51,11,28
02-02 11:01,9,28
02-02 11:11,11,31
02-02 11:21,9,30
02-02 11:31,10,30
02-02 11:41,11,30
02-02 11:51,12,29
02-02 12:00,10,33
02-02 12:10,13,37
02-02 12:20,15,36
02-02 12:30,15,35
02-02 12:40,16,34
02-02 12:50,16,33
02-02 13:00,17,33
02-02 13:10,16,32
02-02 13:20,18,31
02-02 13:30,18,31
02-02 13:40,15,30
02-02 13:50,18,32
02-02 14:00,16,35
02-02 14:10,18,35
02-02 14:20,18,35
02-02 14:30,18,32
02-02 14:40,16,36
02-02 14:50,18,35
02-02 15:00,17,32
02-02 15:10,16,31
02-02 15:20,17,34
02-02 15:30,16,33
02-02 15:40,16,33
02-02 15:50,19,34
02-02 16:00,19,31
02-02 16:10,18,28
02-02 16:20,19,30
02-02 16:30,21,30
02-02 16:40,20,32
02-02 16:50,19,33
02-02 17:00,20,33
02-02 17:10,19,32
02-02 17:20,19,31
02-02 17:30,19,29
02-02 17:40,17,28
02-02 17:50,19,31
02-02 18:00,21,32
02-02 18:10,15,29
02-02 18:20,18,29
02-02 18:30,16,30
02-02 18:40,17,30
02-02 18:50,16,32
02-02 19:00,19,34
02-02 19:10,20,33
02-02 19:20,18,33
02-02 19:30,19,34
02-02 19:40,18,34
02-03 12:00,11,41
02-03 12:10,12,38
02-03 12:20,15,41
02-03 12:30,12,41
02-03 12:40,15,41
02-03 12:50,13,41
02-03 13:00,13,40
02-03 13:10,14,43
02-03 13:20,13,42
02-03 13:30,13,44
02-03 13:40,14,42
02-03 13:50,16,42
02-03 14:00,14,41
02-03 14:10,16,39
02-03 14:20,16,38
02-03 14:30,14,38
02-03 14:40,15,37
02-03 14:50,15,35
02-03 15:00,16,34
02-03 15:10,18,37
02-03 15:20,17,37
02-03 15:30,17,37
02-03 15:40,19,38
02-03 15:50,17,37
02-03 16:00,20,36
02-03 16:10,19,37
02-03 16:20,20,34
02-03 16:30,20,34
02-03 16:40,22,36
02-03 16:50,19,36
02-03 17:00,18,37
02-03 17:10,19,38
02-03 17:20,20,36
02-03 17:30,20,36
02-03 17:40,18,35
02-03 17:50,17,35
02-03 18:00,17,35
02-03 18:10,18,35
02-03 18:20,15,34
02-03 18:31,16,34
02-03 18:41,14,35
02-03 18:51,14,35
02-03 19:01,15,35
02-03 19:11,13,37
02-03 19:21,15,36
02-03 19:31,17,38
02-03 19:41,18,37
02-03 19:51,18,37
02-03 20:01,18,36
02-03 20:11,16,36
02-03 20:21,16,37
02-03 20:31,18,38
02-04 12:00,9,37
02-04 12:10,10,37
02-04 12:20,11,35
02-04 12:30,11,37
02-04 12:40,9,38
02-04 12:50,13,41
02-04 13:00,16,44
02-04 13:10,17,38
02-04 13:20,16,34
02-04 13:30,15,35
02-04 13:40,14,37
02-04 13:50,15,38
02-04 14:00,12,39
02-04 14:10,13,38
02-04 14:20,13,37
02-04 14:30,13,39
02-04 14:40,12,37
02-04 14:50,13,39
02-04 15:00,13,37
02-04 15:10,13,36
02-04 15:20,13,36
02-04 15:30,14,35
02-04 15:40,16,33
02-04 15:50,14,33
02-04 16:00,13,32
02-04 16:10,15,32
02-04 16:20,15,35
02-04 16:30,18,36
02-04 16:40,16,37
02-04 16:50,17,34
02-04 17:00,15,36
02-06 12:00,17,25
02-06 12:10,19,25
02-06 12:20,18,23
02-06 12:30,18,24
02-06 12:40,19,23
02-06 12:50,19,23
02-06 13:00,20,21
02-06 13:10,19,25
02-06 13:20,20,24
02-06 13:30,19,24
02-06 13:40,21,25
02-06 13:50,21,26
02-06 14:00,22,27
