Time, Pressure MBar
02-01 00:00,1023
02-01 00:10,1023
02-01 00:20,1023
02-01 00:30,1022
02-01 00:40,1022
02-01 00:50,1022
02-01 01:00,1022
02-01 01:10,1022
02-01 01:20,1022
02-01 01:31,1022
02-01 01:41,1022
02-01 01:51,1022
02-01 02:01,1022
02-01 02:11,1022
02-01 02:21,1022
02-01 02:31,1022
02-01 02:41,1022
02-01 02:51,1022
02-01 03:01,1022
02-01 03:11,1022
02-01 03:21,1022
02-01 03:31,1022
02-01 03:41,1022
02-01 03:51,1022
02-01 04:01,1022
02-01 04:11,1022
02-01 04:21,1022
02-01 04:31,1022
02-01 04:41,1022
02-01 04:51,1022
02-01 05:01,1022
02-01 05:11,1022
02-01 05:21,1022
02-01 05:31,1022
02-01 05:41,1022
02-01 05:51,1022
02-01 06:01,1022
02-01 06:11,1022
02-01 06:21,1022
02-01 06:31,1022
02-01 06:41,1022
02-01 06:51,1022
02-01 07:01,1022
02-01 07:11,1022
02-01 07:21,1022
02-01 07:31,1022
02-01 07:41,1022
02-01 07:51,1022
02-01 08:01,1022
02-01 08:11,1022
02-01 08:21,1022
02-01 08:31,1022
02-01 08:41,1022
02-01 08:51,1022
02-01 09:01,1022
02-01 09:11,1022
02-01 09:21,1022
02-01 09:31,1022
02-01 09:41,1022
02-01 09:51,1022
02-01 10:01,1022
02-01 10:11,1022
02-01 10:21,1023
02-01 10:31,1023
02-01 10:41,1022
02-01 10:51,1023
02-01 11:01,1023
02-01 11:11,1023
02-01 11:21,1023
02-01 11:31,1023
02-01 11:41,1023
02-01 11:51,1023
02-01 12:00,1023
02-01 12:10,1022
02-01 12:20,1022
02-01 12:30,1022
02-01 12:40,1022
02-01 12:50,1023
02-01 13:00,1022
02-01 13:10,1022
02-01 13:20,1022
02-01 13:30,1022
02-01 13:40,1022
02-01 13:50,1022
02-01 14:00,1022
02-01 14:10,1022
02-01 14:20,1022
02-01 14:30,1022
02-01 14:40,1022
02-01 14:50,1022
02-01 15:00,1022
02-01 15:10,1022
02-01 15:20,1022
02-01 15:30,1022
02-01 15:40,1022
02-01 15:50,1023
02-01 16:00,1023
02-01 16:10,1023
02-01 16:20,1023
02-01 16:30,1023
02-01 16:40,1023
02-01 16:50,1023
02-01 17:00,1023
02-01 17:10,1023
02-01 17:20,1023
02-01 17:30,1023
02-01 17:40,1023
02-01 17:50,1023
02-01 18:00,1023
02-01 18:10,1023
02-01 18:20,1024
02-01 18:30,1023
02-01 18:40,1024
02-01 18:50,1023
02-01 19:00,1023
02-01 19:10,1024
02-01 19:20,1024
02-01 19:30,1024
02-01 19:40,1024
02-01 19:50,1024
02-01 20:00,1024
02-01 20:10,1024
02-01 20:20,1024
02-01 20:30,1024
02-01 20:40,1024
02-01 20:50,1024
02-01 21:00,1024
02-01 21:10,1024
02-01 21:20,1024
02-01 21:30,1024
02-01 21:40,1024
02-01 21:50,1024
02-01 22:00,1024
02-01 22:10,1024
02-01 22:20,1024
02-01 22:30,1024
02-01 22:40,1024
02-01 22:50,1024
02-01 23:00,1024
02-01 23:10,1024
02-01 23:20,1024
02-01 23:30,1024
02-01 23:40,1024
02-01 23:50,1024
02-02 00:00,1024
02-02 00:10,1024
02-02 00:20,1024
02-02 00:30,1024
02-02 00:41,1024
02-02 00:51,1024
02-02 01:01,1024
02-02 01:11,1024
02-02 01:21,1024
02-02 01:31,1024
02-02 01:41,1024
02-02 01:51,1024
02-02 02:01,1024
02-02 02:11,1024
02-02 02:21,1024
02-02 02:31,1024
