Time, Leisure, Van
02-01 00:00,13.4,13.4
02-01 00:10,13.4,13.4
02-01 00:20,13.4,13.4
02-01 00:30,13.5,13.4
02-01 00:40,13.4,13.4
02-01 00:50,13.5,13.4
02-01 01:00,13.5,13.4
02-01 01:10,13.4,13.4
02-01 01:20,13.4,13.4
02-01 01:31,13.5,13.4
02-01 01:41,13.5,13.4
02-01 01:51,13.4,13.4
02-01 02:01,13.5,13.4
02-01 02:11,13.5,13.4
02-01 02:21,13.4,13.4
02-01 02:31,13.4,13.4
02-01 02:41,13.5,13.4
02-01 02:51,13.5,13.4
02-01 03:01,13.5,13.4
02-01 03:11,13.5,13.4
02-01 03:21,13.5,13.4
02-01 03:31,13.5,13.4
02-01 03:41,13.5,13.4
02-01 03:51,13.5,13.4
02-01 04:01,13.4,13.3
02-01 04:11,13.4,13.4
02-01 04:21,13.4,13.4
02-01 04:31,13.4,13.4
02-01 04:41,13.4,13.4
02-01 04:51,13.4,13.4
02-01 05:01,13.4,13.4
02-01 05:11,13.4,13.4
02-01 05:21,13.4,13.4
02-01 05:31,13.4,13.4
02-01 05:41,13.4,13.4
02-01 05:51,13.4,13.4
02-01 06:01,13.4,13.4
02-01 06:11,13.5,13.4
02-01 06:21,13.4,13.4
02-01 06:31,13.4,13.4
02-01 06:41,13.4,13.4
02-01 06:51,13.5,13.4
02-01 07:01,13.4,13.4
02-01 07:11,13.5,13.4
02-01 07:21,13.4,13.4
02-01 07:31,13.5,13.4
02-01 07:41,13.5,13.4
02-01 07:51,13.5,13.4
02-01 08:01,13.5,13.4
02-01 08:11,13.5,13.4
02-01 08:21,13.5,13.4
02-01 08:31,13.5,13.4
02-01 08:41,13.5,13.4
02-01 08:51,13.5,13.5
02-01 09:01,13.5,13.5
02-01 09:11,13.5,13.5
02-01 09:21,13.5,13.4
02-01 09:31,13.4,13.4
02-01 09:41,13.4,13.3
02-01 09:51,13.4,13.4
02-01 10:01,13.6,13.5
02-01 10:11,14.6,14.6
02-01 10:21,14.6,14.6
02-01 10:31,14.5,14.5
02-01 10:41,14.6,14.5
02-01 10:51,14.5,14.5
02-01 11:01,14.5,14.5
02-01 11:11,14.5,14.4
02-01 11:21,14.6,14.5
02-01 11:31,14.2,14.2
02-01 11:41,13.6,13.6
02-01 11:51,13.5,13.4
02-01 12:00,13.3,13.3
02-01 12:10,13.3,13.3
02-01 12:20,13.2,13.1
02-01 12:30,13.1,13.0
02-01 12:40,13.4,13.3
02-01 12:50,13.6,13.5
02-01 13:00,13.6,13.5
02-01 13:10,13.5,13.5
02-01 13:20,13.6,13.5
02-01 13:30,13.6,13.5
02-01 13:40,13.6,13.5
02-01 13:50,13.6,13.5
02-01 14:00,13.5,13.4
02-01 14:10,13.4,13.4
02-01 14:20,13.4,13.3
02-01 14:30,13.4,13.3
02-01 14:40,13.3,13.3
02-01 14:50,13.3,13.2
02-01 15:00,13.2,13.2
02-01 15:10,13.1,13.1
02-01 15:20,13.2,13.1
02-01 15:30,13.3,13.2
02-01 15:40,13.3,13.3
02-01 15:50,13.3,13.3
02-01 16:00,13.4,13.3
02-01 16:10,13.3,13.3
02-01 16:20,13.4,13.3
02-01 16:30,13.3,13.3
02-01 16:40,13.4,13.4
02-01 16:50,13.3,13.2
02-01 17:00,13.3,13.2
02-01 17:10,13.4,13.4
02-01 17:20,13.3,13.2
02-01 17:30,13.4,13.3
02-01 17:40,13.4,13.4
02-01 17:50,13.3,13.2
02-01 18:00,13.3,13.2
02-01 18:10,13.4,13.4
02-01 18:20,13.3,13.2
02-01 18:30,13.4,13.4
02-01 18:40,13.4,13.4
02-01 18:50,13.3,13.2
02-01 19:00,13.4,13.4
02-01 19:10,13.4,13.4
02-01 19:20,13.3,13.2
02-01 19:30,13.4,13.4
02-01 19:40,13.4,13.4
02-01 19:50,13.3,13.2
02-01 20:00,13.4,13.3
02-01 20:10,13.4,13.4
02-01 20:20,13.2,13.2
02-01 20:30,13.2,13.2
02-01 20:40,13.4,13.3
02-01 20:50,13.4,13.3
02-01 21:00,13.2,13.2
02-01 21:10,13.4,13.4
02-01 21:20,13.4,13.4
02-01 21:30,13.2,13.2
02-01 21:40,13.4,13.4
02-01 21:50,13.5,13.4
02-01 22:00,13.3,13.2
02-01 22:10,13.3,13.3
02-01 22:20,13.5,13.4
02-01 22:30,13.4,13.4
02-01 22:40,13.3,13.2
02-01 22:50,13.2,13.2
02-01 23:00,13.4,13.3
02-01 23:10,13.4,13.3
02-01 23:20,13.4,13.4
02-01 23:30,13.2,13.2
02-01 23:40,13.2,13.1
02-01 23:50,13.4,13.4
02-02 00:00,13.4,13.4
02-02 00:10,13.4,13.4
02-02 00:20,13.4,13.4
02-02 00:30,13.4,13.4
02-02 00:41,13.3,13.2
02-02 00:51,13.3,13.2
02-02 01:01,13.3,13.2
02-02 01:11,13.4,13.4
02-02 01:21,13.4,13.4
02-02 01:31,13.4,13.4
02-02 01:41,13.4,13.4
02-02 01:51,13.4,13.4
02-02 02:01,13.4,13.4
02-02 02:11,13.3,13.2
02-02 02:21,13.3,13.2
02-02 02:31,13.4,13.4
02-02 02:41,13.4,13.4
02-02 02:51,13.4,13.4
02-02 03:01,13.4,13.4
02-02 03:11,13.4,13.4
02-02 03:21,13.4,13.4
02-02 03:31,13.4,13.4
02-02 03:41,13.2,13.2
02-02 03:51,13.3,13.2
02-02 04:01,13.4,13.4
02-02 04:11,13.5,13.4
02-02 04:21,13.5,13.4
02-02 04:31,13.5,13.4
02-02 04:41,13.5,13.4
02-02 04:51,13.5,13.4
02-02 05:01,13.5,13.4
02-02 05:11,13.5,13.4
02-02 05:21,13.2,13.2
02-02 05:31,13.2,13.1
02-02 05:41,13.4,13.4
02-02 05:51,13.4,13.4
02-02 06:01,13.4,13.4
02-02 06:11,13.4,13.4
02-02 06:21,13.4,13.4
02-02 06:31,13.4,13.4
02-02 06:41,13.4,13.4
02-02 06:51,13.4,13.4
02-02 07:01,13.3,13.2
02-02 07:11,13.2,13.2
02-02 07:21,13.4,13.4
02-02 07:31,13.4,13.4
02-02 07:41,13.4,13.4
02-02 07:51,13.4,13.4
02-02 08:01,13.4,13.4
02-02 08:11,13.4,13.4
02-02 08:21,13.4,13.4
02-02 08:31,13.5,13.4
02-02 08:41,13.3,13.2
02-02 08:51,13.2,13.2
02-02 09:01,13.5,13.4
02-02 09:11,13.5,13.5
02-02 09:21,13.5,13.4
02-02 09:31,13.5,13.4
02-02 09:41,13.5,13.4
02-02 09:51,13.6,13.5
02-02 10:01,13.5,13.5
02-02 10:11,13.6,13.5
02-02 10:21,13.4,13.3
02-02 10:31,13.3,13.3
02-02 10:41,13.6,13.5
02-02 10:51,13.6,13.5
02-02 11:01,13.6,13.5
02-02 11:11,13.6,13.5
02-02 11:21,13.4,13.3
02-02 11:31,13.4,13.3
02-02 11:41,13.6,13.6
02-02 11:51,13.5,13.5
02-02 12:00,14.0,13.9
02-02 12:10,14.5,14.4
02-02 12:20,14.6,14.6
02-02 12:30,14.3,14.2
02-02 12:40,14.0,13.9
02-02 12:50,14.4,14.3
02-02 13:00,14.6,14.5
02-02 13:10,14.0,13.9
02-02 13:20,14.4,14.3
02-02 13:30,13.1,13.0
02-02 13:40,13.2,13.2
02-02 13:50,13.9,13.8
02-02 14:00,14.1,14.0
02-02 14:10,14.1,14.0
02-02 14:20,14.0,14.0
02-02 14:30,14.2,14.1
02-02 14:40,14.2,14.1
02-02 14:50,14.1,14.1
02-02 15:00,14.1,14.0
02-02 15:10,14.1,14.0
02-02 15:20,14.1,14.1
02-02 15:30,14.1,14.1
02-02 15:40,14.1,14.1
02-02 15:50,14.1,14.1
02-02 16:00,14.1,14.0
02-02 16:10,14.1,14.0
02-02 16:20,14.1,14.0
02-02 16:30,14.2,14.2
02-02 16:40,14.2,14.2
02-02 16:50,14.2,14.2
02-02 17:00,14.2,14.2
02-02 17:10,14.2,14.2
02-02 17:20,13.8,13.8
02-02 17:30,13.3,13.3
02-02 17:40,13.0,12.9
02-02 17:50,13.1,13.0
02-02 18:00,13.0,13.0
02-02 18:10,13.0,13.0
02-02 18:20,13.0,13.0
02-02 18:30,13.2,13.1
02-02 18:40,13.2,13.2
02-02 18:50,13.1,13.1
02-02 19:00,13.2,13.1
02-02 19:10,13.3,13.2
02-02 19:20,13.3,13.2
02-02 19:30,13.3,13.2
02-02 19:40,13.3,13.3
02-03 12:00,13.3,13.2
02-03 12:10,13.5,13.4
02-03 12:20,13.6,13.5
02-03 12:30,13.6,13.5
02-03 12:40,13.6,13.5
02-03 12:50,13.4,13.4
02-03 13:00,13.5,13.4
02-03 13:10,13.6,13.5
02-03 13:20,13.5,13.5
02-03 13:30,13.4,13.4
02-03 13:40,13.3,13.2
02-03 13:50,13.3,13.3
02-03 14:00,13.2,13.2
02-03 14:10,13.1,13.0
02-03 14:20,13.3,13.2
02-03 14:30,13.4,13.4
02-03 14:40,13.4,13.4
02-03 14:50,13.5,13.4
02-03 15:00,13.2,13.2
02-03 15:10,13.2,13.1
02-03 15:20,13.4,13.3
02-03 15:30,13.4,13.4
02-03 15:40,13.4,13.4
02-03 15:50,13.4,13.4
02-03 16:00,13.4,13.4
02-03 16:10,13.4,13.3
02-03 16:20,13.4,13.3
02-03 16:30,13.2,13.2
02-03 16:40,13.0,12.9
02-03 16:50,13.0,12.9
02-03 17:00,13.1,13.1
02-03 17:10,13.2,13.2
02-03 17:20,12.7,12.7
02-03 17:30,12.3,12.3
02-03 17:40,12.3,12.3
02-03 17:50,12.5,12.4
02-03 18:00,12.5,12.5
02-03 18:10,12.5,12.5
02-03 18:20,12.5,12.5
02-03 18:31,12.5,12.4
02-03 18:41,12.5,12.4
02-03 18:51,12.4,12.4
02-03 19:01,12.2,12.2
02-03 19:11,12.4,12.3
02-03 19:21,13.5,13.4
02-03 19:31,13.6,13.6
02-03 19:41,13.8,13.7
02-03 19:51,13.4,13.4
02-03 20:01,13.5,13.4
02-03 20:11,13.5,13.4
02-03 20:21,13.5,13.5
02-03 20:31,13.7,13.6
02-04 12:00,13.5,13.5
02-04 12:10,13.5,13.5
02-04 12:20,13.6,13.5
02-04 12:30,13.4,13.4
02-04 12:40,13.4,13.4
02-04 12:50,13.4,13.3
02-04 13:00,13.3,13.3
02-04 13:10,13.3,13.2
02-04 13:20,13.2,13.1
02-04 13:30,13.1,13.1
02-04 13:40,13.5,13.4
02-04 13:50,13.5,13.4
02-04 14:00,13.3,13.3
02-04 14:10,13.3,13.3
02-04 14:20,13.5,13.4
02-04 14:30,13.4,13.4
02-04 14:40,13.4,13.4
02-04 14:50,13.4,13.4
02-04 15:00,13.4,13.4
02-04 15:10,13.4,13.3
02-04 15:20,13.4,13.3
02-04 15:30,13.4,13.4
02-04 15:40,13.4,13.4
02-04 15:50,13.4,13.3
02-04 16:00,13.3,13.3
02-04 16:10,13.3,13.3
02-04 16:20,13.3,13.3
02-04 16:30,13.2,13.2
02-04 16:40,13.1,13.0
02-04 16:50,13.2,13.1
02-04 17:00,13.2,13.2
02-06 12:00,13.7,13.8
02-06 12:10,13.7,13.7
02-06 12:20,13.8,13.8
02-06 12:30,13.8,13.8
02-06 12:40,13.8,13.7
02-06 12:50,13.8,13.7
02-06 13:00,13.8,13.8
02-06 13:10,13.8,13.8
02-06 13:20,13.9,13.8
02-06 13:30,13.9,13.8
02-06 13:40,13.8,13.8
02-06 13:50,13.9,13.8
02-06 14:00,13.8,13.8
02-06 14:10,13.8,13.8
02-06 14:20,13.8,13.8
02-06 14:30,13.8,13.8
02-06 14:40,13.7,13.7
02-06 14:50,13.7,13.7
02-06 15:00,13.8,13.7
02-06 15:10,13.4,13.4
02-06 15:20,13.2,13.2
02-06 15:30,13.1,13.0
02-06 15:40,12.8,12.8
02-06 15:50,12.6,12.7
02-06 16:00,13.9,13.9
02-06 16:10,14.1,14.1
02-06 16:20,14.2,14.1
02-06 16:30,14.2,14.1
02-06 16:40,14.2,14.1
02-06 16:50,14.2,14.1
02-06 17:00,14.2,14.2
02-06 17:03,14.2,14.2
02-06 17:13,14.2,14.1
02-06 17:23,14.2,14.1
02-06 17:33,14.2,14.2
02-06 17:43,14.2,14.1
02-06 17:53,13.6,13.5
02-07 12:00,13.8,13.8
02-07 12:10,13.8,13.8
02-07 12:20,13.8,13.8
02-07 12:30,13.8,13.8
02-07 12:40,13.8,13.8
02-07 12:50,13.9,13.8
02-07 13:00,13.8,13.8
02-07 13:10,13.8,13.7
02-07 13:20,13.7,13.7
02-07 13:30,13.7,13.7
02-07 13:40,13.8,13.8
02-07 13:50,13.7,13.7
02-07 14:00,13.7,13.7
02-07 14:10,13.8,13.8
02-07 14:20,13.8,13.8
02-07 14:30,13.8,13.8
02-07 14:40,13.8,13.8
02-07 14:50,13.9,13.9
02-07 15:00,13.9,13.9
02-07 15:10,13.8,13.8
02-07 15:20,13.8,13.8
02-07 15:30,13.8,13.8
02-07 15:40,13.8,13.7
02-07 15:50,13.5,13.5
02-07 16:00,13.3,13.3
02-07 16:10,13.1,13.1
02-07 16:20,13.4,13.3
02-07 16:30,13.4,13.4
02-07 16:40,13.4,13.4
02-07 16:50,13.4,13.4
